event_id    , title                                                                 , Artist_name                                                , description                                                                                                                                                                                                                                     , category                        , audience, tags                                                                                                                           , date_start, doors_open_time, date_end, time_start , duration_min, venue_name                                                       , venue_address                               , localidad                , city  , lat        , lon         , price_min_cop, price_max_cop, is_free  , age_min        , organizer_name                                                       , source_name , source_url                                                              , image_url
BOG-0013    , Car�n Le�n � Boca Chueca Tour 2025                                    , Car�n Le�n                                                 , M�sica                                                                                                                                                                                                                                          , M�sica                          , Adultos , "Car�n Le�n, Boca Chueca Tour, regional mexicano, concierto, Bogot�, El Camp�n"                                                , 08/11/25  , 17:00          , 08/11/25, 17:00      ,          180, Estadio Nemesio Camacho El Camp�n                                , Carrera 30 & Calle 57                       , Teusaquillo              , Bogot�, 4.6459032  , -74.07752822,        100000,        650000, FALSO    , 18             , Breakfast Live                                                       , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0014    , S�lvia P�rez Cruz y Salvador Sobral                                   , S�lvia P�rez Cruz & Salvador Sobral                        , M�sica                                                                                                                                                                                                                                          , M�sica                          , Ni�os   , "S�lvia P�rez Cruz, Salvador Sobral, �lbum d�o, concierto, Bogot�, Teatro Colsubsidio"                                         , 30/10/25  , 18:30          , 30/10/25, 18:30      ,          180, Teatro Colsubsidio                                               , Av. El Dorado #25-40                        , Teusaquillo              , Bogot�, 4.623108585, -74.07802426,        100000,        650000, FALSO    , 3              , Colsubsidio                                                          , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0015    , El Principito � El Musical                                            , Elenco de El Principito (Producci�n Teatral Colombia)      , Teatro                                                                                                                                                                                                                                          , Teatro                          , Ni�os   , "El Principito, musical, familia, teatro, Bogot�, Teatro Col�n"                                                                , 30/10/25  , 18:30          , 30/10/25, 18:30      ,          180, Teatro Col�n                                                     , Calle 10 #5-32                              , La Candelaria            , Bogot�, 4.5966666  , -74.0744201 ,         60000,        200000, FALSO    , 2              , Centro Nacional de las Artes Delia Zapata Olivella                   , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0016    , El Principito � El Musical                                            , Elenco de El Principito (Producci�n Teatral Colombia)      , Teatro                                                                                                                                                                                                                                          , Teatro                          , Ni�os   , "El Principito, musical, familia, teatro, Bogot�, Teatro Col�n"                                                                , 31/10/25  , 18:30          , 31/10/25, 18:30      ,          180, Teatro Col�n                                                     , Calle 10 #5-32                              , La Candelaria            , Bogot�, 4.5966666  , -74.0744201 ,         60000,        200000, FALSO    , 2              , Centro Nacional de las Artes Delia Zapata Olivella                   , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0017    , El Principito � El Musical                                            , Elenco de El Principito (Producci�n Teatral Colombia)      , Teatro                                                                                                                                                                                                                                          , Teatro                          , Ni�os   , "El Principito, musical, familia, teatro, Bogot�, Teatro Col�n"                                                                , 01/11/25  , 16:00          , 01/11/25, 16:00      ,          180, Teatro Col�n                                                     , Calle 10 #5-32                              , La Candelaria            , Bogot�, 4.5966666  , -74.0744201 ,         60000,        200000, FALSO    , 2              , Centro Nacional de las Artes Delia Zapata Olivella                   , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0018    , El Principito � El Musical                                            , Elenco de El Principito (Producci�n Teatral Colombia)      , Teatro                                                                                                                                                                                                                                          , Teatro                          , Ni�os   , "El Principito, musical, familia, teatro, Bogot�, Teatro Col�n"                                                                , 01/11/25  , 18:30          , 01/11/25, 18:30      ,          180, Teatro Col�n                                                     , Calle 10 #5-32                              , La Candelaria            , Bogot�, 4.5966666  , -74.0744201 ,         60000,        200000, FALSO    , 2              , Centro Nacional de las Artes Delia Zapata Olivella                   , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0019    , El Principito � El Musical                                            , Elenco de El Principito (Producci�n Teatral Colombia)      , Teatro                                                                                                                                                                                                                                          , Teatro                          , Ni�os   , "El Principito, musical, familia, teatro, Bogot�, Teatro Col�n"                                                                , 02/11/25  , 16:00          , 02/11/25, 16:00      ,          180, Teatro Col�n                                                     , Calle 10 #5-32                              , La Candelaria            , Bogot�, 4.5966666  , -74.0744201 ,         60000,        200000, FALSO    , 2              , Centro Nacional de las Artes Delia Zapata Olivella                   , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0020    , El Principito � El Musical                                            , Elenco de El Principito (Producci�n Teatral Colombia)      , Teatro                                                                                                                                                                                                                                          , Teatro                          , Ni�os   , "El Principito, musical, familia, teatro, Bogot�, Teatro Col�n"                                                                , 03/11/25  , 16:00          , 03/11/25, 16:00      ,          180, Teatro Col�n                                                     , Calle 10 #5-32                              , La Candelaria            , Bogot�, 4.5966666  , -74.0744201 ,         60000,        200000, FALSO    , 2              , Centro Nacional de las Artes Delia Zapata Olivella                   , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0021    , �AZ�CAR! � Tributo a Celia Cruz � 100  de su nacimiento               , Tributo a Celia Cruz                                       , M�sica                                                                                                                                                                                                                                          , M�sica                          , Ni�os   , "Celia Cruz, tributo, salsa, m�sica latina, Bogot�, Teatro Cafam"                                                              , 08/11/25  , 19:00          , 08/11/25, 19:00      ,          180, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 7              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
BOG-0022    , �AZ�CAR! � Tributo a Celia Cruz � 100  de su nacimiento               , Tributo a Celia Cruz                                       , M�sica                                                                                                                                                                                                                                          , M�sica                          , Ni�os   , "Celia Cruz, tributo, salsa, m�sica latina, Bogot�, Teatro Cafam"                                                              , 09/11/25  , 10:00          , 09/11/25, 10:00      ,          180, Teatro Cafam                                                     , Av. Cra 68 #90-88                           , Suba                     , Bogot�, 4.684871   , -74.07318   ,         60000,        200000, FALSO    , 7              , CAFAM                                                                , TuBoleta    , https://tuboleta.com/es                                                 , 
